## Comments
## OffsetGeometrySegmentTest

## [InputGeom] nvarchar(1000) NOT NULL
## [StartMeasure] float NOT NULL
## [EndMeasure] float NOT NULL
## [ExpectedGeom] nvarchar(1000) NOT NULL

## Each line represents one test data to be inserted in DB
## Parameter Separator ||
## Should follow the same order of parameter; white space at the start and end of each param will be truncated
## [InputGeom]                                                              ||[StartMeasure]    ||[EndMeasure]  ||[Offset]  ||[Tolerance]   ||[ExpectedGeom]                                                               ||[Comments]
LINESTRING (10 1 NULL 10, 25 1 NULL 25)                                     ||15                ||20            ||2         ||0.5           ||LINESTRING (15 1 NULL 15, 20 1 NULL 20)                                      ||
LINESTRING (10 1 NULL 10, 25 1 NULL 25)                                     ||12                ||15            ||3         ||0.5           ||LINESTRING (12.000000000000002 1 12, 15 1 15)                                ||
LINESTRING (10 1 NULL 10, 25 1 NULL 25)                                     ||10                ||14            ||5         ||0.5           ||LINESTRING (10 1 NULL 10, 14 1 NULL 14)                                      ||
LINESTRING (10 1 NULL 10, 25 1 NULL 25)                                     ||11                ||15            ||2         ||0.5           ||LINESTRING (11 1 NULL 11, 15 1 NULL 15)                                      ||
LINESTRING (10 1 NULL 10, 25 1 NULL 25)                                     ||13                ||17            ||-2        ||0.5           ||LINESTRING (13 1 NULL 13, 17 1 NULL 17)                                      ||
LINESTRING (10 1 NULL 10, 25 1 NULL 25)                                     ||14                ||16            ||2         ||0.5           ||LINESTRING (14 1 NULL 14, 16 1 NULL 16)                                      ||
LINESTRING (10 1 NULL 10, 25 1 NULL 25)                                     ||14                ||16            ||2         ||0.5           ||LINESTRING (14 1 NULL 14, 16 1 NULL 16)                                      ||
LINESTRING (100 50 NULL 100, 150 50 NULL 150)                               ||101               ||120           ||-4        ||0.5           ||LINESTRING (101 50 NULL 101, 120 50 NULL 120)                                ||
LINESTRING (200000 100000 0, 200500 100000 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 100000 0, 200500 100000 500)                              ||
LINESTRING (200000 100000 0, 200500 100000 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 100000 0, 200500 100000 500)                              ||
LINESTRING (200000 100000 0, 200000 100500 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 100000 0, 200000 100500 500)                              ||
LINESTRING (200000 100000 0, 200000 100500 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 100000 0, 200000 100500 500)                              ||
LINESTRING (200000 100500 0, 200500 100500 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 100500 0, 200500 100500 500)                              ||
LINESTRING (200000 100500 0, 200000 101000 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 100500 0, 200000 101000 500)                              ||
LINESTRING (200000 100500 0, 200000 101000 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 100500 0, 200000 101000 500)                              ||
LINESTRING (200000 101000 0, 200500 101000 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 101000 0, 200500 101000 500)                              ||
LINESTRING (200000 101000 0, 200000 101500 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 101000 0, 200000 101500 500)                              ||
LINESTRING (200000 101000 0, 200000 101500 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 101000 0, 200000 101500 500)                              ||
LINESTRING (200000 101500 0, 200500 101500 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 101500 0, 200500 101500 500)                              ||
LINESTRING (200000 101500 0, 200500 101500 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 101500 0, 200500 101500 500)                              ||
LINESTRING (200000 101500 0, 200000 102000 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 101500 0, 200000 102000 500)                              ||
LINESTRING (200000 101500 0, 200000 102000 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 101500 0, 200000 102000 500)                              ||
LINESTRING (200000 102000 0, 200500 102000 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 102000 0, 200500 102000 500)                              ||
LINESTRING (200000 102000 0, 200000 102500 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 102000 0, 200000 102500 500)                              ||
LINESTRING (200000 102000 0, 200000 102500 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 102000 0, 200000 102500 500)                              ||
LINESTRING (200000 102500 0, 200500 102500 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 102500 0, 200500 102500 500)                              ||
LINESTRING (200000 102500 0, 200000 103000 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 102500 0, 200000 103000 500)                              ||
LINESTRING (200000 102500 0, 200000 103000 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 102500 0, 200000 103000 500)                              ||
LINESTRING (200000 103000 0, 200500 103000 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 103000 0, 200500 103000 500)                              ||
LINESTRING (200000 103000 0, 200000 103500 500)                             ||0                 ||500           ||2         ||0.5           ||LINESTRING (200000 103000 0, 200000 103500 500)                              ||
